date,ride_title,distance,ride_id
1 сар 23,Улиастай голын хөндий,42,177
1 сар 30,Туул гол,44,178
3 сар 6,Бурхант хошуу,64,179
3 сар 13,Харгана,70,180
3 сар 20,Дэндий ам Налайх,75,181
3 сар 27,Хандгайт,70,182
4 сар 3,Эмээлт Давааны Баруун турууны даваа,76,183
4 сар 10,Хөшигтийн хөндий,96,184
4 сар 12-24,223+223 км жийлт,446,185
5 сар 1-2,Духын даваа,90,186
5 сар 8,Баруун турууны даваа Гүнтийн даваа,90,187
5 сар 15-16,Гүнжийн сүм,205,188
5 сар 15,Тэрэлж Налайх,117,189
5 сар 22,"Гүнт, Баруун турууны даваа",90,190
5 сар 29,Гүнжийн хоолой,60,191
6 сар 3-8,Нэмэх Чулуутын голын бэлчир,170,192
6 сар 5,Шувуу,82,193
6 сар 12,Тахилт Майхан толгой,88,194
6 сар 19,Налайх Багануур Багахангай дүүрэг,321,195
7 сар 3,Шилжрэн даваа,80,196
7 сар 14,Зуны сорилт Долоон даваа IV,145,197
8 сар 14,Нурамт    Хадат,80,198
8 сар 21,Горхи Мөст,116,199
7 сар 10,Гишүүдийн зуны хоногийн ба олон хоногийн аялал,886,254
9 сар 4,Бугат голын хөндий,86,200
9 сар 11,Намрын сорилт Налайх Өвөр Жанчивлан Багахангай Баян зөрлөг,180,201
