date,ride_title,distance,ride_id
1 сар 19-21,Сэлэнгэ Сүхбаатар Алтанбулаг,52,105
2 сар 16,Бурхант хошуу,64,106
2 сар 23,Баянзүрх Дэндийн ам,81,107
3 сар 2,Харгана,70,108
3 сар 9,Эмээлт Сэрүүний ам Өлзийт,83,109
3 сар 16,Даваатын даваа,86,110
3 сар 23,Мухарын даваа Тахилт,98,111
3 сар 30,БТ Гүнт Хүй 7 худаг,105,112
4 сар 6,УТ Богд уул тойрох,120,113
4 сар 13,Шарга морьт Бэлхи,60,114
4 сар 18,Шувуу Алтанбулаг Шувуу,110,115
4 сар 20,Шувуу Алтанбулаг Шувуу,110,116
4 сар 27,Найрамдал Майхан толгой,72,117
4 сар 27-28,Гүнжийн сүм,205,118
5 сар 4,Хандгайт Баруун гол Хадат,74,119
5 сар 5           5 сар 8,Сэлэнгэ 2019,272,120
5 сар 11,"Зүүн Ац, Хадлан даваа",72,121
5 сар 18,Унадаг дугуйн парад,20,122
5 сар 19,Гацуурт Шилжрэн даваа,80,123
5 сар 24-27,Хэнтий Сүхбаатар 2019,425,124
6 сар 2,УБ 240 зам,93,125
6 сар 8-9,УБ 240         24 цаг,240,126
6 сар 15,Дугуйчдын даваа,50,127
6 сар 22,Баянтөхөм Урд Баян гол,67,128
6 сар 26-28,УБ Дундговь Өмнөговь,587,129
7 сар 6- 7,Шургайт Баян гол Батсүмбэр,149,130
7 сар 13,Зуны аялал,790,250
7 сар 20,Найрамдал Зүүн Ац Санзай,80,131
7 сар 21-         27,Өрнө зүг,763,132
7 сар 29-         8 сар 10,21 аймаг II,1299,133
8 сар 24,Дугуйчдын даваа,50,134
8 сар 31,Долоон даваа III,125,135
9 сар 8,Нурамт Хадат Шарга морьт,94,136
9 сар 14,Гуравын даваа     Сүүж амралт,126,137
9 сар 21,Унадаг дугуйн фестиваль,125,138
9 сар 25,Батсүмбэр,180,139
9 сар 28,Уулын зам,63,140
10 сар 5,Цэцээ гүн,88,141
10 сар 12,Хадлан Үдлэг Харгана,93,142
10 сар 19,Баянзүрх Улиастай Бэлхи Гоодой,79,143
10 сар 26,Баянтөхөм Улиастай Бэлхи,62,144
11 сар 2,Хоёр даваа Шилжрэн Баянтөхөм,100,145
11 сар 9,Эмээлт Өлзийт Нисэх,83,146
12 сар 6,Үр дүн     10%,394,252
