date,ride_title,distance,ride_id
1 сар 17-19,Сэлэнгэ Шаамар,52,147
2 сар 9,Амгалан Скай Ресорт,39,148
2 сар 16,Баянзүрх Туул гол,42,149
2 сар 29-          3 сар 29,Чөлөөт жийлтийн сар,410,150
4 сар 1,"Өвөр, Ар Жанчивлан",106,151
4 сар 4,Майхан толгой     Сүүж,50,152
4 сар 11,Тахилт Шижир Найрамдал Толгойт,82,153
4 сар 18,Баянтөхөм Шилжрэн даваа,87,154
4 сар 25,Хөшигтийн хөндий Баруун Дэлгэрийн ам,90,155
5 сар 2,"Налайх, Өвөр, Ар Жанчивлан Эрдэнэ",109,156
5 сар 9- 10,УБ Налайх Багахангай Баян Баянтал Чойр,225,157
5 сар 19,Гүнжийн сүм,82,158
5 сар 23-24,Сөгнөгөр голын эх,162,159
6 сар 6- 7,УБ 240,240,160
6 сар 13,Бугатын даваа,105,161
6 сар 19-20,Батсүмэр Өлгий гол Шатанг,33,162
6 сар 27,Төрхурахын ам,66,163
7 сар 4-5,Улаан Харгайн даваа          Заан гол Тэрэлж гол,124,164
7 сар 10-17,Жиглэгийн даваа Утрагийн даваа            Ханх,296,165
7 сар 17,Налайх Тэрэлж Гачуурт,130,166
7 сар 15-30,Жиглэгийн даваа Утрагийн даваа              Эг Үүр,687,167
8 сар 1,Хүй 7 худаг,25,168
8 сар 8,Хөшигтийн хурдны зам,50,169
8 сар 15,Тэрэлж Горхи,126,170
8 сар 22,Баянзүрх уулаар,61,171
8 сар 29,Хүй 7 худаг,90,172
9 сар 5,Мухарын даваа Тахилтын ам,101,173
9 сар 5,Дархан Уул аймаг,78,174
9 сар 12,Богд уул тойрох,103,175
9 сар 18-19,Зүүнхараа Түнхэл Батсүмбэр Жигжид,76,176
10 сар 3,Бонус 5%,163,253
