"ride_id","user_id","started","finished"
148,6,1,1
149,6,1,1.64
150,6,1,0.82
151,6,1,1
152,6,1,1.2
153,6,1,1
154,6,1,1
155,6,1,1
156,6,1,1
157,6,1,1
158,6,1,1
159,6,1,0.83
160,6,1,0.48
161,6,1,1
162,6,1,1
163,6,1,1
164,6,1,1.04
167,6,1,1
170,6,1,1
171,6,1,1
172,6,1,1
173,6,1,1
175,6,1,1
176,6,1,1.03
150,20,1,0.21
157,20,1,1
160,20,1,1.04
168,20,1,2
148,19,1,0.56
150,19,1,1.32
152,19,1,1.1
153,19,1,1.23
154,19,1,1
156,19,1,1.09
158,19,1,1
159,19,1,0.69
160,19,1,0.48
161,19,1,1
163,19,1,0.3
164,19,1,1.04
170,19,1,1.36
171,19,1,1
253,19,1,0.53
153,52,1,1
154,52,1,1
155,52,1,1
156,52,1,1
161,52,1,1.07
170,52,1,1
171,52,1,1
172,52,1,1
173,52,1,1
175,52,1,1
156,126,1,1.09
157,126,1,1
160,126,1,1
170,126,1,1.36
172,126,1,1
150,127,1,0.84
152,127,1,2.48
156,130,1,1
159,136,1,0.19
160,136,1,0.5
171,136,1,1
170,139,1,1.36
147,140,1,1
158,149,1,1.85
148,24,1,0.64
149,24,1,1
152,24,1,2.56
153,24,1,1
157,24,1,1
159,24,1,0.19
160,24,1,0.5
171,24,1,1
176,24,1,1.71
148,34,1,1
149,34,1,1.64
150,34,1,1.77
155,34,1,0.18
156,34,1,0.57
168,34,1,2
172,34,1,1
174,34,1,1.69
176,34,1,1.71
253,34,1,0.4
147,161,1,1
150,161,1,0.37
152,161,1,1
154,161,1,1.23
156,161,1,1
157,161,1,1
158,161,1,1
161,161,1,1
163,161,1,1
170,161,1,1.24
253,161,1,0.34
147,359,1,1
148,359,1,0.64
150,359,1,1.16
152,359,1,1.14
153,359,1,1
155,359,1,1
156,359,1,1.09
157,359,1,1
159,359,1,0.83
160,359,1,0.48
164,359,1,1.04
165,359,1,1
168,359,1,2
169,359,1,2
170,359,1,1.36
171,359,1,1
174,359,1,1.69
176,359,1,2.01
253,359,1,0.75
172,164,1,1.17
174,164,1,1.69
147,165,1,1
148,45,1,0.64
150,45,1,0.36
153,45,1,1.09
160,45,1,0.38
167,45,1,0.36
170,45,1,1.36
147,42,1,1
149,42,1,1
150,42,1,0.46
147,176,1,1.38
148,176,1,1.28
149,176,1,1
150,176,1,1.95
152,176,1,2.76
153,176,1,1
155,176,1,0.22
157,176,1,1
168,176,1,2
169,176,1,2
253,176,1,0.48
150,30,1,0.15
155,30,1,1
166,30,1,1
171,30,1,1
172,30,1,1
173,30,1,1
175,30,1,1
147,48,1,1
148,48,1,1
149,48,1,1
150,48,1,1.03
152,48,1,1.36
153,48,1,0.96
154,48,1,1
155,48,1,1
156,48,1,1
159,48,1,0.19
163,48,1,0.3
164,48,1,0.13
168,48,1,2
170,48,1,1.36
172,48,1,1
173,48,1,1
253,48,1,0.45
158,104,1,1
159,104,1,0.88
160,104,1,0.53
166,104,1,1
169,104,1,1
172,104,1,1.83
154,181,1,0.78
155,181,1,1
174,181,1,1.69
147,31,1,1
148,31,1,0.64
149,31,1,1
150,31,1,0.15
153,31,1,1
157,31,1,1
165,31,1,1
157,69,1,1
150,61,1,1.78
159,61,1,3.41
253,61,1,0.39
149,190,1,1
157,190,1,1
150,58,1,1.29
151,58,1,1
153,58,1,1.1
154,58,1,1
155,58,1,1
156,58,1,1.09
158,58,1,0.12
161,58,1,1
163,58,1,1
164,58,1,0.42
166,58,1,1
170,58,1,1.36
171,58,1,1
253,58,1,0.5
150,193,1,1.05
155,193,1,1
156,193,1,1.09
161,193,1,1
165,193,1,1.02
170,193,1,1
171,193,1,1
253,193,1,0.38
150,207,1,1.23
152,207,1,1.36
153,207,1,1.16
155,207,1,0.9
156,207,1,1.39
158,207,1,1.85
253,207,1,0.33
147,13,1,1
148,13,1,0.64
149,13,1,1
150,13,1,1.66
153,13,1,1.06
155,13,1,1
156,13,1,1.09
157,13,1,1
161,13,1,1
169,13,1,2
170,13,1,1.36
172,13,1,1.83
174,13,1,2.01
253,13,1,0.62
148,216,1,0.64
149,216,1,1
147,72,1,1
149,72,1,1
150,72,1,0.73
152,72,1,1.1
153,72,1,1
154,72,1,0.78
156,72,1,1.09
157,72,1,1
158,72,1,1
164,72,1,1.04
167,72,1,0.82
170,72,1,1.24
171,72,1,1.44
174,72,1,1.69
176,72,1,2.05
253,72,1,0.89
147,217,1,1
148,217,1,0.64
150,217,1,0.5
152,217,1,0.66
153,217,1,0.93
155,217,1,0.27
156,217,1,1.09
168,217,1,2
147,76,1,1
148,76,1,0.64
149,76,1,1
150,76,1,1.24
152,76,1,1
153,76,1,1.11
155,76,1,1
156,76,1,1.09
157,76,1,1
158,76,1,1
159,76,1,0.69
160,76,1,0.48
161,76,1,1
163,76,1,1
170,76,1,1.36
171,76,1,1
174,76,1,5.64
253,76,1,0.72
147,18,1,1
150,18,1,0.3
153,18,1,1
154,18,1,1
155,18,1,1
156,18,1,1.09
157,18,1,1
160,18,1,1
162,18,1,5.45
170,18,1,1.36
253,18,1,0.42
150,234,1,0.5
153,234,1,1.16
157,234,1,1
159,234,1,0.83
160,234,1,1
172,234,1,0.56
154,239,1,1
148,105,1,0.64
149,105,1,0.64
150,105,1,3.19
152,105,1,2.56
155,105,1,1.03
156,105,1,1.44
157,105,1,1
159,105,1,0.88
160,105,1,0.07
161,105,1,1
165,105,1,1
169,105,1,2
170,105,1,1.36
172,105,1,1.83
174,105,1,1.69
253,105,1,0.95
174,246,1,1.69
150,254,1,0.46
160,254,1,0.03
161,254,1,1
156,110,1,0.57
161,110,1,1
164,110,1,1.04
167,110,1,0.68
175,110,1,1
150,266,1,0.6
169,266,1,1
170,266,1,0.92
150,44,1,0.22
154,44,1,0.86
156,44,1,1
157,44,1,1
150,270,1,0.46
152,270,1,1.1
154,270,1,0.52
155,270,1,1
160,270,1,0.38
161,270,1,1
148,271,1,0.64
150,271,1,2.62
152,271,1,2.56
153,271,1,1.11
154,271,1,1
155,271,1,1
156,271,1,1.09
157,271,1,1
159,271,1,1
160,271,1,1
166,271,1,1
169,271,1,2
170,271,1,1.36
171,271,1,1
172,271,1,1.83
174,271,1,1.69
175,271,1,1
176,271,1,2.01
253,271,1,1
150,278,1,0.89
150,280,1,0.5
152,280,1,2.02
153,280,1,1.23
173,280,1,1
147,107,1,1
148,107,1,0.64
150,107,1,0.68
152,107,1,2.56
154,107,1,1
155,107,1,1
156,107,1,1.09
159,107,1,0.83
160,107,1,1
161,107,1,1
170,107,1,1.36
171,107,1,1
172,107,1,1.83
253,107,1,0.51
147,4,1,1
148,4,1,0.36
149,4,1,1
150,4,1,1.53
152,4,1,1.32
153,4,1,0.79
155,4,1,1
156,4,1,1
157,4,1,1
159,4,1,0.41
160,4,1,0.48
161,4,1,1
162,4,1,1
164,4,1,1.04
167,4,1,0.68
170,4,1,1.24
172,4,1,1
173,4,1,1
175,4,1,0.36
176,4,1,2.05
253,4,1,0.84
147,284,1,1
148,284,1,0.64
149,284,1,0.64
150,284,1,3.76
152,284,1,2.4
153,284,1,0.96
156,284,1,1
157,284,1,1
158,284,1,1
160,284,1,0.48
163,284,1,1
168,284,1,2
169,284,1,2
170,284,1,0.92
171,284,1,1
172,284,1,1.17
174,284,1,1.69
253,284,1,0.92
150,285,1,0.55
152,285,1,2.02
160,287,1,1
147,8,1,1
148,8,1,0.36
150,8,1,1.47
152,8,1,1
153,8,1,0.72
155,8,1,1
157,8,1,1
158,8,1,1
159,8,1,0.41
160,8,1,0.48
161,8,1,1
162,8,1,1
163,8,1,1
164,8,1,1.04
167,8,1,0.68
170,8,1,1.24
171,8,1,1
172,8,1,1
173,8,1,1
175,8,1,1
176,8,1,2.05
253,8,1,0.87
150,288,1,0.69
153,288,1,0.09
154,288,1,0.78
155,288,1,1
156,288,1,1
158,288,1,1
159,290,1,0.51
163,290,1,1.38
150,292,1,0.44
153,292,1,0.52
160,292,1,1
152,43,1,1.32
161,43,1,1
172,43,1,1
173,43,1,1
176,43,1,2.05
147,49,1,1
150,49,1,1.08
154,49,1,1
156,49,1,1.09
157,49,1,2
158,49,1,1.35
159,49,1,0.69
160,49,1,0.48
162,49,1,1
167,49,1,0.82
253,49,1,0.64
150,296,1,0.15
160,296,1,0.53
150,23,1,0.8
152,23,1,1.82
153,23,1,0.62
154,23,1,1
155,23,1,1
156,23,1,1.09
157,23,1,1
159,23,1,0.69
160,23,1,0.38
161,23,1,1
166,23,1,1
168,23,1,2
170,23,1,0.92
172,23,1,1.17
173,23,1,1
253,23,1,0.55
151,297,1,1.78
152,297,1,2.4
153,297,1,1
154,297,1,1
155,297,1,1
156,297,1,1.09
157,297,1,1
158,297,1,1
160,297,1,0.83
161,297,1,1
163,297,1,0.11
168,297,1,2
169,297,1,2
170,297,1,1.36
172,297,1,0.56
253,297,1,0.52
151,16,1,1.38
152,16,1,1.4
153,16,1,1
154,16,1,0.78
156,16,1,1
157,16,1,1
158,16,1,1
160,16,1,0.38
161,16,1,1
163,16,1,1
166,16,1,1
168,16,1,2
169,16,1,2
170,16,1,0.92
172,16,1,1.17
173,16,1,1
175,16,1,1
176,16,1,1.71
253,16,1,0.58
153,298,1,1.2
154,298,1,1
155,298,1,1
156,298,1,1.09
157,298,1,1
160,298,1,1
170,298,1,1.36
156,299,1,1.09
157,299,1,1
