date,ride_title,distance,ride_id
1 сар 19-21,Хархорин,50,71
2 сар 24,Бурхант хошуу,61,72
3 сар 3,"Майхан толгой, Хөвсгөл",64,73
3 сар 10,"Шувуу, Сонгино",81,74
3 сар 17,"Гүнт, Шижир",84,75
3 сар 24,Шилжрэн Хоёр даваа,98,76
3 сар 31,"Хадлан,   Хүй долоо Сонгино",124,77
4 сар 7,Богд уул тойрох,118,78
4 сар 14,"УБ 108, Хархорин",108,79
4 сар 21,Улиастай Шургайт Баянгол,148,80
4 сар 26,Жийлт Тосолт,174,81
4 сар 28- 29,Гүнжийн сүм,137,82
5 сар 5,Найрамдал зуслан,72,83
5 сар 12- 13,Дорноговь 2018,454,84
5 сар 19,Улиастай Нурамт,78,85
6 сар 3,УБ 240 бэлтгэл 1,121,86
6 сар 9- 10,УБ 240,240,87
6 сар 16,7 даваа,155,88
7 сар 1 - 8 сар,Зуны аялал,187,249
7 сар 17- 8.2,21 аймаг I,1962,89
8 сар 11,7 даваа- 2,135,90
8 сар 18,Эмээлт Өлзийт Айдас,86,91
8 сар 21,Цагаан нуга,93,92
8 сар 25,Харгана Батсүмбэр,84,93
9 сар 8,Тэрэлж Фестивал зам,100,94
9 сар 15,Унадаг дугуйн фестиваль,125,95
9 сар 29,Майхан толгой Толгойт,68,96
10 сар 3,Баянзүрх уул,55,97
10 сар 6,"Бонус 20, 20, 50, 20",90,98
10 сар 9,Богд уул тойрох,100,99
10 сар 13,Богд уул тойрох,106,100
10 сар 20,Баянзүрх уул,65,101
11 сар 11,Гүнт Эмээлт,103,102
11 сар 25,Богд уул тойрох,107,103
12 сар 1,Харгана,70,104
